Brokenheart,RDM,04/13/2025,22:18:25,Dragons_Aery,Fafnir/Nidhogg
Crescentfresh,BRD,04/13/2025,22:18:25,Dragons_Aery,Fafnir/Nidhogg
Daveman,BLM,04/13/2025,22:18:25,Dragons_Aery,Fafnir/Nidhogg
Fmtwo,WHM,04/13/2025,22:18:25,Dragons_Aery,Fafnir/Nidhogg
Galathea,BRD,04/13/2025,22:18:25,Dragons_Aery,Fafnir/Nidhogg
Gojia,BLM,04/13/2025,22:18:25,Dragons_Aery,Fafnir/Nidhogg
Horus,THF,04/13/2025,22:18:25,Dragons_Aery,Fafnir/Nidhogg
Kashmere,BRD,04/13/2025,22:18:25,Dragons_Aery,Fafnir/Nidhogg
Kelde,SMN,04/13/2025,22:18:25,Dragons_Aery,Fafnir/Nidhogg
Nils,SMN,04/13/2025,22:18:25,Dragons_Aery,Fafnir/Nidhogg
Pringles,BLM,04/13/2025,22:18:25,Dragons_Aery,Fafnir/Nidhogg
Saki,PLD,04/13/2025,22:18:25,Dragons_Aery,Fafnir/Nidhogg
Saladd,WHM,04/13/2025,22:18:25,Dragons_Aery,Fafnir/Nidhogg
Zyphix,BRD,04/13/2025,22:18:25,Dragons_Aery,Fafnir/Nidhogg
