Allidoisnguyen,BLM,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Byakua,BRD,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Cannon,SMN,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Clynt,BRD,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Deeteez,NONE,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Fluffymcmuffins,WHM,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Fmtwo,SMN,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Grover,SMN,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Hatashy,BRD,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Jibbles,SMN,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Jinnkidd,SMN,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Kwech,THF,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Kwickfox,NONE,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Kyra,RDM,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Lockon,DRK,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Murfbones,PLD,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Nils,SMN,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Pringles,BLM,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Roxxaramu,SMN,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Rraken,BLM,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Saladd,WHM,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Shortbus,PLD,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Skettie,SMN,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Sonomaa,RDM,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Spacekraut,RDM,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Tomoko,WHM,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Vear,PLD,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
Zazel,THF,11/16/2024,14:55:55,Uleguerand_Range,Jormungand
