Aara,BRD,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Aktu,BLM,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Ayr,PLD,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Banzai,BLM,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Bobbo,BRD,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Brokenheart,SMN,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Cannon,WHM,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Cinnisbellum,WHM,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Clynt,PLD,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Cory,PLD,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Daveman,BLM,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Dooter,BRD,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Falsta,PLD,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Felesiea,THF,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Fmtwo,WHM,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Gru,BLM,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Hatashy,BRD,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Kashmere,PLD,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Kelde,SMN,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Kercil,WHM,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Kersed,RDM,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Konn,BLM,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Kro,BLM,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Leob,THF,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Lockon,THF,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Luck,RDM,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Merlot,NONE,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Nibs,BLM,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Nils,THF,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Prongles,WHM,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Sirlancealot,PLD,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Smurv,BLM,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Sonomaa,RDM,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Vear,RDM,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
Volan,WHM,02/22/2025,12:37:42,Dragons_Aery,Fafnir/Nidhogg
